"","STAT_ID","duration","Continent","HCO3_avg","HCO3_dif","HCO3_slope","HCO3_rc","sc","sm","Shape_Area","carbonate","sedimentary","slope","annual_runoff"
"38",100105,9.8,"North America",247.088021276596,0,0,0,0.00011360197446727,0,972701005.96,"low carbonate","low sedimentary","stayed the same",764.17
"39",100107,9.9,"North America",432.285125,262.221,26.417517250897,69.5649751687253,7.58429636012978e-05,0,1456967787.08,"low carbonate","low sedimentary","augmented",746.66
"40",100109,0.3,"North America",1375.0245,527.721,2071.16306451613,47.4926293508429,0,0,78828990.01,"low carbonate","low sedimentary","augmented",726.31
"41",100111,0.3,"North America",204.8605,81.945,249.249375,50.0006101728009,0,0,49480146.06,"low carbonate","low sedimentary","augmented",730
"42",100112,9.7,"North America",238.243891304348,-49.166,-5.04940630275746,-16.6664971745667,0,0,267600247.69,"low carbonate","low sedimentary","diminished",729.49
"43",100113,9.9,"North America",1275.21626,32.7779999999998,3.32055786844294,2.02022069700016,0,0,180380544.55,"low carbonate","low sedimentary","augmented",707.26
"44",100114,9.9,"North America",1448.80759183673,-114.722,-11.6218512350819,-6.25000340497213,0,0,287672652.51,"low carbonate","low sedimentary","diminished",710.29
"45",100128,3.9,"North America",2860.89689090909,316.304,80.8480112044817,10.6043675495035,0.39,0,504459353.61,"low carbonate","low sedimentary","augmented",614.08
"46",100129,8.3,"North America",2047.31018604651,1032.497,124.376701320132,103.278618013044,0.37,0,2642224289.68,"low carbonate","low sedimentary","augmented",749.19
"47",100130,2.8,"North America",2329.94791666667,-639.165,-226.940880350195,-21.910109470848,0.12,0,259824063.57,"low carbonate","low sedimentary","diminished",714.84
"48",100131,9.9,"North America",631.3968,98.3330000000001,9.95880826859046,15.3846033496828,0.0063402761888926,0,341820115.63,"low carbonate","low sedimentary","augmented",775
"49",100134,22.7,"North America",1539.38103968254,1147.219,50.5657450790967,107.692286029429,0.27,0,3978243993.89,"low carbonate","low sedimentary","augmented",750.44
"50",100135,9.9,"North America",444.004020408163,245.832,24.917711746737,51.7239420380115,0,0,358432307.61,"low carbonate","low sedimentary","augmented",775
"51",100136,9.9,"North America",547.954846153846,376.944,38.2073201888364,74.1936880725277,0,0,670599770.95,"low carbonate","low sedimentary","augmented",765.06
"52",100137,2.4,"North America",631.8925625,693.248,289.845956471936,162.69226256131,0,0,18936719.51,"low carbonate","low sedimentary","augmented",727
